,top,left,right,top props,left props,right props
0,1,4,10,"['prime', 'square']","['2 mult', 'square']","['2 mult', '5 mult']"
1,1,12,8,"['prime', 'square']","['2 mult', '3 mult']",['2 mult']
2,1,12,10,"['prime', 'square']","['2 mult', '3 mult']","['2 mult', '5 mult']"
3,1,10,2,"['prime', 'square']","['2 mult', '5 mult']",['2 mult']
4,2,7,1,['2 mult'],['prime'],"['prime', 'square']"
5,2,5,3,['2 mult'],"['prime', '5 mult']","['prime', '3 mult']"
6,2,5,3,['2 mult'],"['prime', '5 mult']","['prime', '3 mult']"
7,2,8,1,['2 mult'],['2 mult'],"['prime', 'square']"
8,3,5,8,"['prime', '3 mult']","['prime', '5 mult']",['2 mult']
9,3,11,4,"['prime', '3 mult']",['prime'],"['2 mult', 'square']"
10,3,9,10,"['prime', '3 mult']","['3 mult', 'square']","['2 mult', '5 mult']"
11,3,7,9,"['prime', '3 mult']",['prime'],"['3 mult', 'square']"
12,4,10,7,"['2 mult', 'square']","['2 mult', '5 mult']",['prime']
13,4,5,10,"['2 mult', 'square']","['prime', '5 mult']","['2 mult', '5 mult']"
14,4,1,2,"['2 mult', 'square']","['prime', 'square']",['2 mult']
15,4,12,2,"['2 mult', 'square']","['2 mult', '3 mult']",['2 mult']
16,5,12,6,"['prime', '5 mult']","['2 mult', '3 mult']","['2 mult', '3 mult']"
17,5,1,10,"['prime', '5 mult']","['prime', 'square']","['2 mult', '5 mult']"
18,5,2,3,"['prime', '5 mult']",['2 mult'],"['prime', '3 mult']"
19,5,10,7,"['prime', '5 mult']","['2 mult', '5 mult']",['prime']
20,6,1,10,"['2 mult', '3 mult']","['prime', 'square']","['2 mult', '5 mult']"
21,6,4,11,"['2 mult', '3 mult']","['2 mult', 'square']",['prime']
22,6,7,8,"['2 mult', '3 mult']",['prime'],['2 mult']
23,6,1,7,"['2 mult', '3 mult']","['prime', 'square']",['prime']
24,7,5,9,['prime'],"['prime', '5 mult']","['3 mult', 'square']"
25,7,4,1,['prime'],"['2 mult', 'square']","['prime', 'square']"
26,7,4,5,['prime'],"['2 mult', 'square']","['prime', '5 mult']"
27,7,12,6,['prime'],"['2 mult', '3 mult']","['2 mult', '3 mult']"
28,8,2,6,['2 mult'],['2 mult'],"['2 mult', '3 mult']"
29,8,11,9,['2 mult'],['prime'],"['3 mult', 'square']"
30,8,12,1,['2 mult'],"['2 mult', '3 mult']","['prime', 'square']"
31,8,2,1,['2 mult'],['2 mult'],"['prime', 'square']"
32,9,6,2,"['3 mult', 'square']","['2 mult', '3 mult']",['2 mult']
33,9,7,5,"['3 mult', 'square']",['prime'],"['prime', '5 mult']"
34,9,11,1,"['3 mult', 'square']",['prime'],"['prime', 'square']"
35,9,2,7,"['3 mult', 'square']",['2 mult'],['prime']
36,10,4,5,"['2 mult', '5 mult']","['2 mult', 'square']","['prime', '5 mult']"
37,10,6,4,"['2 mult', '5 mult']","['2 mult', '3 mult']","['2 mult', 'square']"
38,10,12,7,"['2 mult', '5 mult']","['2 mult', '3 mult']",['prime']
39,10,5,4,"['2 mult', '5 mult']","['prime', '5 mult']","['2 mult', 'square']"
40,11,4,5,['prime'],"['2 mult', 'square']","['prime', '5 mult']"
41,11,6,1,['prime'],"['2 mult', '3 mult']","['prime', 'square']"
42,11,5,1,['prime'],"['prime', '5 mult']","['prime', 'square']"
43,11,5,2,['prime'],"['prime', '5 mult']",['2 mult']
44,12,10,9,"['2 mult', '3 mult']","['2 mult', '5 mult']","['3 mult', 'square']"
45,12,5,4,"['2 mult', '3 mult']","['prime', '5 mult']","['2 mult', 'square']"
46,12,4,6,"['2 mult', '3 mult']","['2 mult', 'square']","['2 mult', '3 mult']"
47,12,7,1,"['2 mult', '3 mult']",['prime'],"['prime', 'square']"
